dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
bloodmnist,entropy,(none/full),0.9839228295819936,0.0031754554833838466,0.06611064076423645,0.0,0.0
bloodmnist,entropy,hflip,0.983338205203157,0.004074991873153223,0.0680847093462944,-0.058,0.0009
bloodmnist,entropy,rotate,0.9836305173925752,0.004686623219334238,0.06741562485694885,-0.029,0.0015
bloodmnist,entropy,brightness,0.9836305173925752,0.0036813242154593493,0.06661608815193176,-0.029,0.0005
bloodmnist,entropy,gaussian_noise,0.9839228295819936,0.004302732030120912,0.06658538430929184,0.0,0.0011
bloodmnist,entropy,center_crop,0.9836305173925752,0.005192781951266507,0.06591011583805084,-0.029,0.002
bloodmnist,entropy,contrast,0.9830458930137387,0.004775247633788246,0.06629762053489685,-0.088,0.0016
bloodmnist,entropy,sharpness,0.9830458930137387,0.004453476332182444,0.066437728703022,-0.088,0.0013
bloodmnist,entropy,vflip,0.9839228295819936,0.004209506550019185,0.06968782842159271,0.0,0.001
bloodmnist,entropy,color_jitter,0.9845074539608302,0.0040473209351553525,0.06338165700435638,0.058,0.0009
bloodmnist,entropy,elastic,0.9839228295819936,0.004203194033085545,0.06465832889080048,0.0,0.001
