dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
bloodmnist,entropy,(none/full),0.9769073370359544,0.0037966886221125766,0.08129959553480148,0.0,0.0
bloodmnist,entropy,hflip,0.9748611517100263,0.0020393480058651394,0.08458587527275085,-0.205,-0.0018
bloodmnist,entropy,rotate,0.974568839520608,0.0029191666268285105,0.0827530026435852,-0.234,-0.0009
bloodmnist,entropy,brightness,0.9757380882782812,0.0028156446055061838,0.08074608445167542,-0.117,-0.001
bloodmnist,entropy,gaussian_noise,0.9769073370359544,0.0031145584754029365,0.08110664784908295,0.0,-0.0007
bloodmnist,entropy,center_crop,0.974568839520608,0.00430549893313697,0.0850282534956932,-0.234,0.0005
bloodmnist,entropy,contrast,0.9757380882782812,0.0038824034813934177,0.08100255578756332,-0.117,0.0001
bloodmnist,entropy,sharpness,0.9760304004676995,0.0028780025283832228,0.08120696246623993,-0.088,-0.0009
bloodmnist,entropy,vflip,0.975445776088863,0.0034410664558550026,0.08417002856731415,-0.146,-0.0004
bloodmnist,entropy,color_jitter,0.9751534638994446,0.0038095129334205537,0.07831648737192154,-0.175,0.0
bloodmnist,entropy,elastic,0.9763227126571178,0.004054527121027907,0.0814189612865448,-0.058,0.0003
