dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
bloodmnist,deit_tiny,S1,baseline,10,0.9731072785735165,0.9987961863449675,0.007643629909781331,0.0828455463051796,,1.0739
bloodmnist,deit_tiny,S1,maxprob,10,0.9742765273311897,0.998806978828995,0.005857199038444503,0.08157502859830856,,1.0739
bloodmnist,deit_tiny,S1,entropy,10,0.974568839520608,0.9988235927221194,0.006106107643005332,0.08036214113235474,,1.0739
bloodmnist,deit_tiny,S1,variance,10,0.974568839520608,0.9988166565543155,0.005629529907005762,0.08078282326459885,,1.0739
bloodmnist,deit_tiny,S1,variance_inv,10,0.9725226541946799,0.9987488794310526,0.012834136003780316,0.08757797628641129,,1.0739
bloodmnist,deit_tiny,S1,mc_dropout,T=20,0.9719380298158433,0.9986899803575638,0.012675580540026762,0.09522172808647156,,1.0739
bloodmnist,deit_tiny,S1,ts_only,1,0.9719380298158433,0.9986972442273548,0.011674962818047639,0.09367666393518448,,1.0739
bloodmnist,deit_tiny,S1,ts_entropy,10,0.974568839520608,0.9988343673264019,0.00490073510792754,0.07964147627353668,,1.0739
bloodmnist,deit_tiny,S1,top3,10,0.974568839520608,0.9989003361855245,0.013563938332175444,0.08922359347343445,,1.0739
bloodmnist,deit_tiny,S1,top5,10,0.9760304004676995,0.998841370215457,0.01105769532216778,0.08741039782762527,,1.0739
bloodmnist,deit_tiny,S1,top7,10,0.9748611517100263,0.9988451872230504,0.008593924855391465,0.08526221662759781,,1.0739
