dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
bloodmnist,deit_tiny,baseline,2,0.9746,0.0021,0.9989,0.0001,0.0078,0.0002,0.0798,0.0043
bloodmnist,deit_tiny,maxprob,2,0.9754,0.0017,0.9989,0.0001,0.0051,0.0011,0.0784,0.0046
bloodmnist,deit_tiny,entropy,2,0.9762,0.0023,0.9989,0.0001,0.0055,0.0008,0.0774,0.0042
bloodmnist,deit_tiny,variance,2,0.9757,0.0017,0.9989,0.0001,0.0045,0.0016,0.0776,0.0045
bloodmnist,deit_tiny,variance_inv,2,0.9746,0.0029,0.9988,0.0001,0.0136,0.0011,0.085,0.0037
bloodmnist,deit_tiny,mc_dropout,2,0.9727,0.001,0.9987,0.0001,0.0123,0.0005,0.0918,0.0048
bloodmnist,deit_tiny,ts_only,2,0.9727,0.001,0.9987,0.0001,0.0109,0.0011,0.0903,0.0047
bloodmnist,deit_tiny,ts_entropy,2,0.9763,0.0025,0.9989,0.0001,0.006,0.0016,0.0771,0.0036
bloodmnist,deit_tiny,top3,2,0.9759,0.0019,0.9989,0.0,0.0133,0.0004,0.0907,0.0021
bloodmnist,deit_tiny,top5,2,0.9765,0.0006,0.9989,0.0001,0.0098,0.0018,0.0841,0.0046
bloodmnist,deit_tiny,top7,2,0.9759,0.0014,0.9989,0.0001,0.0077,0.0013,0.0813,0.0056
