dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
bloodmnist,entropy,(none/full),0.983338205203157,0.0010929636284817625,0.053982943296432495,0.0,0.0
bloodmnist,entropy,hflip,0.9830458930137387,0.0020275943305749253,0.05456074699759483,-0.029,0.0009
bloodmnist,entropy,rotate,0.9836305173925752,0.0025459641481274733,0.0542105957865715,0.029,0.0015
bloodmnist,entropy,brightness,0.9830458930137387,0.002867344561044116,0.05345114693045616,-0.029,0.0018
bloodmnist,entropy,gaussian_noise,0.9836305173925752,0.003039181415395611,0.05479364097118378,0.029,0.0019
bloodmnist,entropy,center_crop,0.9830458930137387,0.002186364918137055,0.057200003415346146,-0.029,0.0011
bloodmnist,entropy,contrast,0.9827535808243204,0.0037796025090104895,0.053515587002038956,-0.058,0.0027
bloodmnist,entropy,sharpness,0.9827535808243204,0.004312031940213722,0.053487714380025864,-0.058,0.0032
bloodmnist,entropy,vflip,0.983338205203157,0.0015688192875752088,0.057136863470077515,0.0,0.0005
bloodmnist,entropy,color_jitter,0.9821689564454837,0.005487103109922852,0.05156310275197029,-0.117,0.0044
bloodmnist,entropy,elastic,0.9836305173925752,0.0016167720344742388,0.053062546998262405,0.029,0.0005
