dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
bloodmnist,effb0,S1,baseline,10,0.9856767027185034,0.9994120320125921,0.006741445007396706,0.056283872574567795,8.680358111663255,1.0653
bloodmnist,effb0,S1,maxprob,10,0.9853843905290851,0.9994191104378072,0.00484233768806583,0.05490700900554657,8.680358111663255,1.0653
bloodmnist,effb0,S1,entropy,10,0.9853843905290851,0.9994231852301083,0.00390499517500172,0.0541062168776989,8.680358111663255,1.0653
bloodmnist,effb0,S1,variance,10,0.9853843905290851,0.9994231951552486,0.0036882034730786025,0.0542730912566185,8.680358111663255,1.0653
bloodmnist,effb0,S1,variance_inv,10,0.9845074539608302,0.9993924376946641,0.010930885717346817,0.06148586422204971,8.680358111663255,1.0653
bloodmnist,effb0,S1,mc_dropout,T=20,0.9827535808243204,0.9992898690876519,0.009153292545691073,0.06455402076244354,10.685166530254401,1.0653
bloodmnist,effb0,S1,ts_only,1,0.9830458930137387,0.9992654042945421,0.008965727818426906,0.06324290484189987,0.5398581701257158,1.0653
bloodmnist,effb0,S1,ts_entropy,10,0.9853843905290851,0.9994266783862042,0.0037425393529957485,0.05347776040434837,8.680358111663255,1.0653
bloodmnist,effb0,S1,top3,10,0.9853843905290851,0.9993739774694403,0.010243612836237348,0.07061440497636795,8.680358111663255,1.0653
bloodmnist,effb0,S1,top5,10,0.9856767027185034,0.9993958509349877,0.008581490570325973,0.06383060663938522,8.680358111663255,1.0653
bloodmnist,effb0,S1,top7,10,0.9856767027185034,0.9994365019689845,0.0071786473418355475,0.058249037712812424,8.680358111663255,1.0653
