dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
bloodmnist,effb0,baseline,3,0.9843,0.0013,0.9994,0.0,0.006,0.0009,0.0562,0.0014
bloodmnist,effb0,maxprob,3,0.9844,0.0012,0.9994,0.0,0.0048,0.0004,0.0549,0.0016
bloodmnist,effb0,entropy,3,0.9843,0.001,0.9994,0.0,0.0039,0.0004,0.0539,0.0015
bloodmnist,effb0,variance,3,0.9842,0.0011,0.9994,0.0,0.0034,0.0004,0.0542,0.0016
bloodmnist,effb0,variance_inv,3,0.9834,0.001,0.9994,0.0,0.011,0.0003,0.0612,0.0009
bloodmnist,effb0,mc_dropout,3,0.9828,0.0003,0.9993,0.0,0.0103,0.001,0.0669,0.0023
bloodmnist,effb0,ts_only,3,0.9827,0.0004,0.9993,0.0,0.0101,0.001,0.0643,0.0012
bloodmnist,effb0,ts_entropy,3,0.9843,0.0009,0.9994,0.0,0.0035,0.0006,0.0531,0.0015
bloodmnist,effb0,top3,3,0.9844,0.0012,0.9994,0.0,0.0105,0.0011,0.0736,0.0029
bloodmnist,effb0,top5,3,0.9842,0.0013,0.9994,0.0,0.009,0.0007,0.065,0.0016
bloodmnist,effb0,top7,3,0.9845,0.001,0.9994,0.0,0.0078,0.0006,0.0596,0.0013
