dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
bloodmnist,resnet18,baseline,3,0.9828,0.0003,0.9991,0.0001,0.0091,0.0002,0.0685,0.0024
bloodmnist,resnet18,maxprob,3,0.9831,0.0004,0.9991,0.0001,0.0068,0.0008,0.0669,0.0024
bloodmnist,resnet18,entropy,3,0.9833,0.0003,0.9991,0.0001,0.0054,0.001,0.0658,0.0023
bloodmnist,resnet18,variance,3,0.9832,0.0007,0.9991,0.0001,0.0054,0.0006,0.066,0.0024
bloodmnist,resnet18,variance_inv,3,0.9829,0.0006,0.999,0.0001,0.015,0.0014,0.074,0.0022
bloodmnist,resnet18,mc_dropout,3,0.9811,0.0007,0.999,0.0001,0.0113,0.0006,0.0768,0.0068
bloodmnist,resnet18,ts_only,3,0.9811,0.001,0.999,0.0001,0.0094,0.0013,0.0721,0.0046
bloodmnist,resnet18,ts_entropy,3,0.9831,0.0003,0.9991,0.0001,0.0065,0.0009,0.0641,0.0023
bloodmnist,resnet18,top3,3,0.9832,0.0006,0.9991,0.0,0.0113,0.0013,0.087,0.0024
bloodmnist,resnet18,top5,3,0.9842,0.0008,0.9991,0.0,0.01,0.0017,0.0753,0.0024
bloodmnist,resnet18,top7,3,0.9832,0.0002,0.9991,0.0,0.0092,0.0013,0.0688,0.0021
