dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
bloodmnist,resnet18,S1,baseline,10,0.9830458930137387,0.9990519261799141,0.009170814002685731,0.06872975826263428,,1.0592
bloodmnist,resnet18,S1,maxprob,10,0.9830458930137387,0.999053758180015,0.0067335806353612535,0.06719639152288437,,1.0592
bloodmnist,resnet18,S1,entropy,10,0.983338205203157,0.9990395276513327,0.005235153300760101,0.06627818197011948,,1.0592
bloodmnist,resnet18,S1,variance,10,0.983338205203157,0.9990460370667191,0.00527517655654733,0.06646716594696045,,1.0592
bloodmnist,resnet18,S1,variance_inv,10,0.983338205203157,0.9990442740443322,0.016616107148407725,0.07441823184490204,,1.0592
bloodmnist,resnet18,S1,mc_dropout,T=20,0.9818766442560655,0.998918702098438,0.01168893006279325,0.07157961279153824,,1.0592
bloodmnist,resnet18,S1,ts_only,1,0.9821689564454837,0.9989172969794259,0.009902403224667948,0.06995143741369247,,1.0592
bloodmnist,resnet18,S1,ts_entropy,10,0.983338205203157,0.9990337051948027,0.005476666852348322,0.06545098125934601,,1.0592
bloodmnist,resnet18,S1,top3,10,0.9809997076878105,0.9989563387419049,0.0118797584971779,0.08037085086107254,,1.0592
bloodmnist,resnet18,S1,top5,10,0.9821689564454837,0.9989478952559854,0.008191352680181773,0.0723290666937828,,1.0592
bloodmnist,resnet18,S1,top7,10,0.9830458930137387,0.9989380519104452,0.007980709168618951,0.06850136816501617,,1.0592
