dataset,strategy,ece,ci_low,ci_high,baseline_ci_low,baseline_ci_high,significant_vs_baseline
pathmnist,baseline,0.043843,0.04003,0.049275,0.04003,0.049275,False
pathmnist,maxprob,0.036548,0.032124,0.041151,0.04003,0.049275,False
pathmnist,entropy,0.032445,0.027854,0.037228,0.04003,0.049275,True
pathmnist,variance,0.031635,0.027292,0.036421,0.04003,0.049275,True
pathmnist,variance_inv,0.063707,0.058899,0.068825,0.04003,0.049275,True
pathmnist,mc_dropout,0.010416,0.007884,0.016114,0.04003,0.049275,True
pathmnist,ts_only,0.014382,0.01078,0.019831,0.04003,0.049275,True
pathmnist,ts_entropy,0.02986,0.025448,0.034622,0.04003,0.049275,True
bloodmnist,baseline,0.009171,0.006126,0.013107,0.006126,0.013107,False
bloodmnist,maxprob,0.006734,0.004181,0.01076,0.006126,0.013107,False
bloodmnist,entropy,0.005235,0.003261,0.009364,0.006126,0.013107,False
bloodmnist,variance,0.005275,0.003231,0.00951,0.006126,0.013107,False
bloodmnist,variance_inv,0.016616,0.013279,0.020739,0.006126,0.013107,True
bloodmnist,mc_dropout,0.011689,0.008051,0.015881,0.006126,0.013107,False
bloodmnist,ts_only,0.009902,0.006678,0.014341,0.006126,0.013107,False
bloodmnist,ts_entropy,0.005477,0.00346,0.009496,0.006126,0.013107,False
