dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
breastmnist,maxprob,(none/full),0.8846153846153846,0.03641259975922416,0.3134755492210388,0.0,0.0
breastmnist,maxprob,hflip,0.8846153846153846,0.024094301538589692,0.3136958181858063,0.0,-0.0123
breastmnist,maxprob,rotate,0.8846153846153846,0.02995810218346423,0.3090616762638092,0.0,-0.0065
breastmnist,maxprob,brightness,0.8846153846153846,0.04120843074260612,0.30827346444129944,0.0,0.0048
breastmnist,maxprob,gaussian_noise,0.8782051282051282,0.04227493092035635,0.31138908863067627,-0.641,0.0059
breastmnist,maxprob,center_crop,0.8782051282051282,0.03006950899576532,0.313824862241745,-0.641,-0.0063
breastmnist,maxprob,contrast,0.8846153846153846,0.03756174292319858,0.3092009425163269,0.0,0.0011
breastmnist,maxprob,sharpness,0.8846153846153846,0.03746263147928774,0.3099419176578522,0.0,0.0011
breastmnist,maxprob,vflip,0.8846153846153846,0.03121372522451936,0.3211959898471832,0.0,-0.0052
breastmnist,maxprob,color_jitter,0.8846153846153846,0.03989781362888142,0.31185102462768555,0.0,0.0035
breastmnist,maxprob,elastic,0.8782051282051282,0.028337235634143518,0.31282883882522583,-0.641,-0.0081
