dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
breastmnist,maxprob,(none/full),0.8589743589743589,0.07094252950105914,0.4521569609642029,0.0,0.0
breastmnist,maxprob,hflip,0.8461538461538461,0.061876386404037476,0.46135178208351135,-1.282,-0.0091
breastmnist,maxprob,rotate,0.8589743589743589,0.07629090165480587,0.4543893337249756,0.0,0.0053
breastmnist,maxprob,brightness,0.8461538461538461,0.0671282551991634,0.4439326524734497,-1.282,-0.0038
breastmnist,maxprob,gaussian_noise,0.8589743589743589,0.06452986789055365,0.4492538273334503,0.0,-0.0064
breastmnist,maxprob,center_crop,0.8461538461538461,0.05225694905488919,0.4386591911315918,-1.282,-0.0187
breastmnist,maxprob,contrast,0.8461538461538461,0.0669434257806876,0.4441012740135193,-1.282,-0.004
breastmnist,maxprob,sharpness,0.8461538461538461,0.06379851546043008,0.44437500834465027,-1.282,-0.0071
breastmnist,maxprob,vflip,0.8525641025641025,0.09822541016798758,0.5158045291900635,-0.641,0.0273
breastmnist,maxprob,color_jitter,0.8525641025641025,0.08698197511526254,0.4502700865268707,-0.641,0.016
breastmnist,maxprob,elastic,0.8589743589743589,0.05671706910316762,0.44622305035591125,0.0,-0.0142
