dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
breastmnist,deit_tiny,S3,baseline,10,0.8653846153846154,0.8903508771929824,0.06327303250630698,0.37670525908470154,,1.1075
breastmnist,deit_tiny,S3,maxprob,10,0.8653846153846154,0.891812865497076,0.06944864797286494,0.3778965175151825,,1.1075
breastmnist,deit_tiny,S3,entropy,10,0.8653846153846154,0.8922305764411027,0.07215273074614692,0.3787768483161926,,1.1075
breastmnist,deit_tiny,S3,variance,10,0.8589743589743589,0.89578111946533,0.0751140736616575,0.3893735706806183,,1.1075
breastmnist,deit_tiny,S3,variance_inv,10,0.8333333333333334,0.8659147869674185,0.0704671003115483,0.41008520126342773,,1.1075
breastmnist,deit_tiny,S3,mc_dropout,T=20,0.8589743589743589,0.8882623224728489,0.08087482284276917,0.4166233241558075,,1.1075
breastmnist,deit_tiny,S3,ts_only,1,0.8525641025641025,0.8920217209690894,0.07492772203225356,0.40173885226249695,,1.1075
breastmnist,deit_tiny,S3,ts_entropy,10,0.8653846153846154,0.8930659983291563,0.06494249709141563,0.3691561818122864,,1.1075
breastmnist,deit_tiny,S3,top3,10,0.8525641025641025,0.8913951545530493,0.09760007453270451,0.45713791251182556,,1.1075
breastmnist,deit_tiny,S3,top5,10,0.8589743589743589,0.8878446115288221,0.09260424322042707,0.43581458926200867,,1.1075
breastmnist,deit_tiny,S3,top7,10,0.8589743589743589,0.8845029239766081,0.09048678171940341,0.42277052998542786,,1.1075
