dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
breastmnist,deit_tiny,baseline,2,0.859,0.0091,0.872,0.026,0.068,0.0067,0.4132,0.0516
breastmnist,deit_tiny,maxprob,2,0.8622,0.0045,0.8735,0.0258,0.0731,0.0051,0.4155,0.0532
breastmnist,deit_tiny,entropy,2,0.8622,0.0045,0.8737,0.0261,0.0778,0.008,0.4178,0.0552
breastmnist,deit_tiny,variance,2,0.8558,0.0045,0.8787,0.0242,0.0755,0.0006,0.4289,0.0559
breastmnist,deit_tiny,variance_inv,2,0.8237,0.0136,0.8527,0.0188,0.0792,0.0124,0.4423,0.0456
breastmnist,deit_tiny,mc_dropout,2,0.8526,0.0091,0.8773,0.0155,0.0819,0.0015,0.4791,0.0883
breastmnist,deit_tiny,ts_only,2,0.8494,0.0045,0.8798,0.0173,0.0762,0.0018,0.4568,0.0778
breastmnist,deit_tiny,ts_entropy,2,0.8622,0.0045,0.8747,0.026,0.0743,0.0133,0.4083,0.0553
breastmnist,deit_tiny,top3,2,0.8494,0.0045,0.8783,0.0185,0.1001,0.0036,0.5196,0.0883
breastmnist,deit_tiny,top5,2,0.859,0.0,0.8778,0.0142,0.0922,0.0005,0.4828,0.0664
breastmnist,deit_tiny,top7,2,0.859,0.0,0.8741,0.0148,0.0937,0.0045,0.4739,0.0723
