dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
breastmnist,maxprob,(none/full),0.8717948717948718,0.04676610537064382,0.33070915937423706,0.0,0.0
breastmnist,maxprob,hflip,0.8717948717948718,0.04674100340941013,0.3348417282104492,0.0,-0.0
breastmnist,maxprob,rotate,0.8782051282051282,0.05886074136465025,0.33400842547416687,0.641,0.0121
breastmnist,maxprob,brightness,0.8717948717948718,0.049912619285094426,0.33421140909194946,0.0,0.0031
breastmnist,maxprob,gaussian_noise,0.8910256410256411,0.06812631166898289,0.3278871774673462,1.923,0.0214
breastmnist,maxprob,center_crop,0.8782051282051282,0.042530939365044616,0.32670968770980835,0.641,-0.0042
breastmnist,maxprob,contrast,0.8782051282051282,0.056923735982332455,0.3329327702522278,0.641,0.0102
breastmnist,maxprob,sharpness,0.8782051282051282,0.05749059067322655,0.3327390253543854,0.641,0.0107
breastmnist,maxprob,vflip,0.8782051282051282,0.04973386839414255,0.33246681094169617,0.641,0.003
breastmnist,maxprob,color_jitter,0.8846153846153846,0.05796875174228962,0.3322283625602722,1.282,0.0112
breastmnist,maxprob,elastic,0.8717948717948718,0.05562639924196096,0.32944944500923157,0.0,0.0089
