dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
breastmnist,effb0,S3,baseline,10,0.8397435897435898,0.8995405179615706,0.06577449578505294,0.37742263078689575,8.038782051282093,1.0137
breastmnist,effb0,S3,maxprob,10,0.8397435897435898,0.8989139515455304,0.05858497703686739,0.37150245904922485,8.038782051282093,1.0137
breastmnist,effb0,S3,entropy,10,0.8397435897435898,0.8993316624895573,0.05830232340555925,0.3695532977581024,8.038782051282093,1.0137
breastmnist,effb0,S3,variance,10,0.8397435897435898,0.8822055137844612,0.07111870440152977,0.38296160101890564,8.038782051282093,1.0137
breastmnist,effb0,S3,variance_inv,10,0.7628205128205128,0.8285296574770259,0.12559663752714792,0.5069650411605835,8.038782051282093,1.0137
breastmnist,effb0,S3,mc_dropout,T=20,0.8333333333333334,0.8627819548872181,0.04792175690333051,0.3779698610305786,8.80563205128245,1.0137
breastmnist,effb0,S3,ts_only,1,0.8205128205128205,0.8629908103592314,0.054223003677832796,0.37880659103393555,0.5315794871796115,1.0137
breastmnist,effb0,S3,ts_entropy,10,0.8397435897435898,0.8993316624895573,0.059532482654620446,0.3705076575279236,8.038782051282093,1.0137
breastmnist,effb0,S3,top3,10,0.8333333333333334,0.8840852130325815,0.07088770430821639,0.3941813111305237,8.038782051282093,1.0137
breastmnist,effb0,S3,top5,10,0.8333333333333334,0.8911862990810359,0.06922853680757374,0.36310312151908875,8.038782051282093,1.0137
breastmnist,effb0,S3,top7,10,0.8333333333333334,0.8978696741854636,0.03084208682561535,0.3527187407016754,8.038782051282093,1.0137
