dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
breastmnist,resnet18,S3,baseline,10,0.8846153846153846,0.9214703425229741,0.01984091752614732,0.2985480725765228,,1.008
breastmnist,resnet18,S3,maxprob,10,0.8910256410256411,0.9218880534670009,0.034736068584980136,0.2977122366428375,,1.008
breastmnist,resnet18,S3,entropy,10,0.8910256410256411,0.9227234753550543,0.02797563832539777,0.2972331941127777,,1.008
breastmnist,resnet18,S3,variance,10,0.8974358974358975,0.9235588972431077,0.057668296954570625,0.30625519156455994,,1.008
breastmnist,resnet18,S3,variance_inv,10,0.8717948717948718,0.9041353383458647,0.07634970392936317,0.35689032077789307,,1.008
breastmnist,resnet18,S3,mc_dropout,T=20,0.8717948717948718,0.924812030075188,0.06225183071234285,0.3301013708114624,,1.008
breastmnist,resnet18,S3,ts_only,1,0.8717948717948718,0.9260651629072681,0.062453683752279984,0.3349405825138092,,1.008
breastmnist,resnet18,S3,ts_entropy,10,0.8910256410256411,0.923141186299081,0.027699827001645,0.29702678322792053,,1.008
breastmnist,resnet18,S3,top3,10,0.8846153846153846,0.9329573934837093,0.07096421183683932,0.37937572598457336,,1.008
breastmnist,resnet18,S3,top5,10,0.8910256410256411,0.9329573934837092,0.06045004725456238,0.3533220589160919,,1.008
breastmnist,resnet18,S3,top7,10,0.8846153846153846,0.9308688387635756,0.0597611505251664,0.3279823362827301,,1.008
