dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
breastmnist,resnet18,baseline,3,0.8868,0.0098,0.917,0.0051,0.0341,0.0126,0.3127,0.0171
breastmnist,resnet18,maxprob,3,0.8889,0.0098,0.9185,0.0043,0.0392,0.0044,0.3127,0.0185
breastmnist,resnet18,entropy,3,0.8889,0.0098,0.9196,0.0035,0.0365,0.0074,0.3131,0.0192
breastmnist,resnet18,variance,3,0.8953,0.0037,0.9205,0.0029,0.0621,0.0041,0.323,0.0206
breastmnist,resnet18,variance_inv,3,0.8632,0.0148,0.8985,0.0071,0.0661,0.014,0.3642,0.0102
breastmnist,resnet18,mc_dropout,3,0.8782,0.0111,0.9168,0.0069,0.0643,0.0192,0.3548,0.0491
breastmnist,resnet18,ts_only,3,0.8761,0.0133,0.9171,0.008,0.0581,0.0114,0.3374,0.0195
breastmnist,resnet18,ts_entropy,3,0.8889,0.0098,0.9206,0.0024,0.0367,0.0078,0.3043,0.0067
breastmnist,resnet18,top3,3,0.8942,0.0136,0.9236,0.0133,0.0892,0.0258,0.4505,0.1006
breastmnist,resnet18,top5,3,0.8942,0.0045,0.9228,0.0143,0.0772,0.0236,0.4091,0.0788
breastmnist,resnet18,top7,3,0.891,0.0091,0.9234,0.0106,0.0739,0.02,0.3815,0.0757
