dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
bloodmnist,deit_tiny,baseline,2,0.9746,0.0021,0.9989,0.0001,0.0078,0.0002,0.0798,0.0043
bloodmnist,deit_tiny,maxprob,2,0.9754,0.0017,0.9989,0.0001,0.0051,0.0011,0.0784,0.0046
bloodmnist,deit_tiny,entropy,2,0.9762,0.0023,0.9989,0.0001,0.0055,0.0008,0.0774,0.0042
bloodmnist,deit_tiny,variance,2,0.9757,0.0017,0.9989,0.0001,0.0045,0.0016,0.0776,0.0045
bloodmnist,deit_tiny,variance_inv,2,0.9746,0.0029,0.9988,0.0001,0.0136,0.0011,0.085,0.0037
bloodmnist,deit_tiny,mc_dropout,2,0.9727,0.001,0.9987,0.0001,0.0123,0.0005,0.0918,0.0048
bloodmnist,deit_tiny,ts_only,2,0.9727,0.001,0.9987,0.0001,0.0109,0.0011,0.0903,0.0047
bloodmnist,deit_tiny,ts_entropy,2,0.9763,0.0025,0.9989,0.0001,0.006,0.0016,0.0771,0.0036
bloodmnist,deit_tiny,top3,2,0.9759,0.0019,0.9989,0.0,0.0133,0.0004,0.0907,0.0021
bloodmnist,deit_tiny,top5,2,0.9765,0.0006,0.9989,0.0001,0.0098,0.0018,0.0841,0.0046
bloodmnist,deit_tiny,top7,2,0.9759,0.0014,0.9989,0.0001,0.0077,0.0013,0.0813,0.0056
breastmnist,deit_tiny,baseline,2,0.859,0.0091,0.872,0.026,0.068,0.0067,0.4132,0.0516
breastmnist,deit_tiny,maxprob,2,0.8622,0.0045,0.8735,0.0258,0.0731,0.0051,0.4155,0.0532
breastmnist,deit_tiny,entropy,2,0.8622,0.0045,0.8737,0.0261,0.0778,0.008,0.4178,0.0552
breastmnist,deit_tiny,variance,2,0.8558,0.0045,0.8787,0.0242,0.0755,0.0006,0.4289,0.0559
breastmnist,deit_tiny,variance_inv,2,0.8237,0.0136,0.8527,0.0188,0.0792,0.0124,0.4423,0.0456
breastmnist,deit_tiny,mc_dropout,2,0.8526,0.0091,0.8773,0.0155,0.0819,0.0015,0.4791,0.0883
breastmnist,deit_tiny,ts_only,2,0.8494,0.0045,0.8798,0.0173,0.0762,0.0018,0.4568,0.0778
breastmnist,deit_tiny,ts_entropy,2,0.8622,0.0045,0.8747,0.026,0.0743,0.0133,0.4083,0.0553
breastmnist,deit_tiny,top3,2,0.8494,0.0045,0.8783,0.0185,0.1001,0.0036,0.5196,0.0883
breastmnist,deit_tiny,top5,2,0.859,0.0,0.8778,0.0142,0.0922,0.0005,0.4828,0.0664
breastmnist,deit_tiny,top7,2,0.859,0.0,0.8741,0.0148,0.0937,0.0045,0.4739,0.0723
dermamnist,deit_tiny,baseline,2,0.812,0.0063,0.9503,0.003,0.0979,0.0041,0.6659,0.0212
dermamnist,deit_tiny,maxprob,2,0.8135,0.0035,0.9504,0.003,0.1039,0.0004,0.6782,0.0211
dermamnist,deit_tiny,entropy,2,0.8135,0.0014,0.9505,0.003,0.1067,0.0008,0.6867,0.02
dermamnist,deit_tiny,variance,2,0.8135,0.0028,0.9505,0.0031,0.1087,0.0001,0.6891,0.0207
dermamnist,deit_tiny,variance_inv,2,0.8107,0.0046,0.9498,0.0029,0.0843,0.0029,0.6483,0.0219
dermamnist,deit_tiny,mc_dropout,2,0.8087,0.006,0.9436,0.0013,0.133,0.0082,0.8318,0.0573
dermamnist,deit_tiny,ts_only,2,0.8097,0.006,0.9444,0.0012,0.1064,0.0077,0.6729,0.028
dermamnist,deit_tiny,ts_entropy,2,0.8135,0.0,0.9509,0.0031,0.0857,0.0007,0.5919,0.0092
dermamnist,deit_tiny,top3,2,0.8162,0.0039,0.9455,0.0003,0.1353,0.0091,0.9258,0.0202
dermamnist,deit_tiny,top5,2,0.8147,0.0018,0.9468,0.0014,0.1284,0.0015,0.8511,0.0359
dermamnist,deit_tiny,top7,2,0.8142,0.0018,0.9475,0.0012,0.123,0.0014,0.7992,0.0325
organamnist,deit_tiny,baseline,2,0.9536,0.0002,0.9966,0.0003,0.0536,0.0016,0.2204,0.0036
organamnist,deit_tiny,maxprob,2,0.9535,0.0004,0.9964,0.0003,0.0498,0.002,0.2198,0.0027
organamnist,deit_tiny,entropy,2,0.9531,0.0002,0.9963,0.0003,0.0466,0.002,0.2196,0.0019
organamnist,deit_tiny,variance,2,0.9532,0.0001,0.9963,0.0004,0.0479,0.0022,0.2202,0.002
organamnist,deit_tiny,variance_inv,2,0.9536,0.0,0.9965,0.0003,0.0644,0.0032,0.2275,0.0053
organamnist,deit_tiny,mc_dropout,2,0.953,0.0008,0.9979,0.0001,0.0286,0.0019,0.1953,0.0087
organamnist,deit_tiny,ts_only,2,0.9531,0.0008,0.998,0.0001,0.0284,0.0014,0.1935,0.0059
organamnist,deit_tiny,ts_entropy,2,0.9532,0.0002,0.9964,0.0003,0.0465,0.0024,0.2169,0.0006
organamnist,deit_tiny,top3,2,0.9511,0.0002,0.997,0.0002,0.0809,0.0047,0.3024,0.0165
organamnist,deit_tiny,top5,2,0.9535,0.0008,0.9973,0.0001,0.0551,0.0028,0.2481,0.0107
organamnist,deit_tiny,top7,2,0.9537,0.0004,0.9973,0.0001,0.0434,0.0062,0.2223,0.0072
pathmnist,deit_tiny,baseline,2,0.9359,0.0103,0.9933,0.0028,0.012,0.0017,0.2233,0.0459
pathmnist,deit_tiny,maxprob,2,0.936,0.0096,0.9934,0.0027,0.0095,0.0034,0.2215,0.045
pathmnist,deit_tiny,entropy,2,0.9369,0.0093,0.9935,0.0027,0.0094,0.0019,0.2201,0.044
pathmnist,deit_tiny,variance,2,0.9368,0.0095,0.9934,0.0027,0.0094,0.0018,0.2212,0.0445
pathmnist,deit_tiny,variance_inv,2,0.9343,0.0106,0.993,0.003,0.0258,0.0041,0.2341,0.0487
pathmnist,deit_tiny,mc_dropout,2,0.9295,0.0106,0.9941,0.0017,0.0409,0.0047,0.2759,0.0458
pathmnist,deit_tiny,ts_only,2,0.9297,0.0098,0.9941,0.0018,0.0385,0.0034,0.2622,0.0425
pathmnist,deit_tiny,ts_entropy,2,0.9373,0.009,0.9936,0.0026,0.0074,0.0019,0.2126,0.0403
pathmnist,deit_tiny,top3,2,0.937,0.0095,0.9946,0.0018,0.0365,0.0051,0.2983,0.0495
pathmnist,deit_tiny,top5,2,0.9373,0.0105,0.9946,0.0017,0.0306,0.0029,0.2641,0.0425
pathmnist,deit_tiny,top7,2,0.9354,0.0097,0.9945,0.0017,0.0263,0.0029,0.2447,0.0384
pneumoniamnist,deit_tiny,baseline,2,0.8237,0.0227,0.9682,0.0038,0.1204,0.016,0.6604,0.029
pneumoniamnist,deit_tiny,maxprob,2,0.8221,0.0227,0.9684,0.004,0.1222,0.0212,0.6727,0.0338
pneumoniamnist,deit_tiny,entropy,2,0.8205,0.0249,0.9685,0.0041,0.1283,0.0221,0.6823,0.0358
