dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
dermamnist,entropy,(none/full),0.8448877805486285,0.07217365119819928,0.5777153968811035,0.0,0.0
dermamnist,entropy,hflip,0.8423940149625935,0.07531228069949922,0.5933323502540588,-0.249,0.0031
dermamnist,entropy,rotate,0.8443890274314214,0.07210899490370717,0.5713874697685242,-0.05,-0.0001
dermamnist,entropy,brightness,0.8438902743142145,0.07250980458354712,0.5667595863342285,-0.1,0.0003
dermamnist,entropy,gaussian_noise,0.8463840399002494,0.07064189081477407,0.5741937756538391,0.15,-0.0015
dermamnist,entropy,center_crop,0.8463840399002494,0.07193446571095627,0.5795481204986572,0.15,-0.0002
dermamnist,entropy,contrast,0.8428927680798005,0.07228086052690066,0.5669001936912537,-0.2,0.0001
dermamnist,entropy,sharpness,0.8438902743142145,0.07127586788964688,0.565292477607727,-0.1,-0.0009
dermamnist,entropy,vflip,0.8433915211970074,0.07933785371352309,0.61961829662323,-0.15,0.0072
dermamnist,entropy,color_jitter,0.8483790523690773,0.07437039268878926,0.5772812962532043,0.349,0.0022
dermamnist,entropy,elastic,0.8443890274314214,0.0750952083422359,0.5808005332946777,-0.05,0.0029
