dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
dermamnist,entropy,(none/full),0.8119700748129676,0.10526469232435538,0.7036522626876831,0.0,0.0
dermamnist,entropy,hflip,0.8079800498753117,0.10916666580257271,0.7115234136581421,-0.399,0.0039
dermamnist,entropy,rotate,0.8124688279301746,0.10733926620269355,0.7114137411117554,0.05,0.0021
dermamnist,entropy,brightness,0.8104738154613467,0.10895391809672783,0.7080752849578857,-0.15,0.0037
dermamnist,entropy,gaussian_noise,0.8119700748129676,0.10274088523928955,0.6983318328857422,0.0,-0.0025
dermamnist,entropy,center_crop,0.8099750623441396,0.10794977773157441,0.7109614014625549,-0.2,0.0027
dermamnist,entropy,contrast,0.8104738154613467,0.10644388087372533,0.7061092853546143,-0.15,0.0012
dermamnist,entropy,sharpness,0.8114713216957606,0.10593859820889122,0.7045319676399231,-0.05,0.0007
dermamnist,entropy,vflip,0.8104738154613467,0.1138516810023577,0.7556387186050415,-0.15,0.0086
dermamnist,entropy,color_jitter,0.8129675810473815,0.10880928980442058,0.7089709639549255,0.1,0.0035
dermamnist,entropy,elastic,0.8114713216957606,0.10494704664199431,0.7007070779800415,-0.05,-0.0003
