dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
dermamnist,deit_tiny,S2,baseline,10,0.8114713216957606,0.9496011857508296,0.09314633838256395,0.6738102436065674,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,maxprob,10,0.8099750623441396,0.9497739263156254,0.10078461837590184,0.684310257434845,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,entropy,10,0.8119700748129676,0.9499697986700957,0.10224011253537683,0.6912751197814941,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,variance,10,0.8119700748129676,0.9499597797130875,0.1036733064270971,0.6939924955368042,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,variance_inv,10,0.8104738154613467,0.9490313919852413,0.0821904608882276,0.6588830947875977,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,mc_dropout,T=20,0.8074812967581048,0.9484572589184123,0.12445214237655484,0.7853597402572632,294.3466829925192,1.3429
dermamnist,deit_tiny,S2,ts_only,1,0.8079800498753117,0.9485250089323449,0.10032118190256434,0.6516002416610718,14.736077057356926,1.3429
dermamnist,deit_tiny,S2,ts_entropy,10,0.8099750623441396,0.9511414967826406,0.08211375617624223,0.5977345705032349,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,top3,10,0.8064837905236908,0.9509072760575188,0.13670008815732082,0.8713433742523193,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,top5,10,0.8104738154613467,0.9511602287028899,0.12321501687875114,0.8112201690673828,22.194502693266365,1.3429
dermamnist,deit_tiny,S2,top7,10,0.8099750623441396,0.950793759849276,0.11700443079941288,0.7775481939315796,22.194502693266365,1.3429
