dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
dermamnist,deit_tiny,baseline,3,0.8118,0.0045,0.9501,0.0021,0.0963,0.004,0.6685,0.0157
dermamnist,deit_tiny,maxprob,3,0.8123,0.0032,0.9502,0.0021,0.1029,0.0018,0.6802,0.0153
dermamnist,deit_tiny,entropy,3,0.813,0.0013,0.9503,0.0022,0.1052,0.0026,0.6882,0.0144
dermamnist,deit_tiny,variance,3,0.813,0.0022,0.9503,0.0022,0.107,0.0029,0.6907,0.0149
dermamnist,deit_tiny,variance_inv,3,0.8106,0.0032,0.9495,0.0021,0.0836,0.0024,0.6518,0.0167
dermamnist,deit_tiny,mc_dropout,3,0.8083,0.0043,0.9453,0.0029,0.1302,0.0076,0.8163,0.0486
dermamnist,deit_tiny,ts_only,3,0.8091,0.0044,0.9458,0.0025,0.1044,0.0065,0.6658,0.0233
dermamnist,deit_tiny,ts_entropy,3,0.8123,0.002,0.951,0.0022,0.0845,0.0021,0.5939,0.0073
dermamnist,deit_tiny,top3,3,0.813,0.0062,0.9473,0.0031,0.1358,0.0065,0.9077,0.0346
dermamnist,deit_tiny,top5,3,0.8133,0.0027,0.9482,0.0027,0.1267,0.0032,0.8378,0.0343
dermamnist,deit_tiny,top7,3,0.8128,0.0027,0.9486,0.0021,0.121,0.0036,0.792,0.0261
