dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
dermamnist,entropy,(none/full),0.8433915211970074,0.05320027857052718,0.5019299983978271,0.0,0.0
dermamnist,entropy,hflip,0.8423940149625935,0.05327899294006554,0.5059351325035095,-0.1,0.0001
dermamnist,entropy,rotate,0.8413965087281795,0.054361539915612836,0.5012748837471008,-0.2,0.0012
dermamnist,entropy,brightness,0.8433915211970074,0.05391675104524128,0.49656352400779724,0.0,0.0007
dermamnist,entropy,gaussian_noise,0.8433915211970074,0.05275155106684806,0.5031080842018127,0.0,-0.0004
dermamnist,entropy,center_crop,0.8443890274314214,0.05408809957956137,0.5060834884643555,0.1,0.0009
dermamnist,entropy,contrast,0.8403990024937655,0.05568361653948663,0.4959014654159546,-0.299,0.0025
dermamnist,entropy,sharpness,0.8418952618453865,0.053896527189269,0.4946499168872833,-0.15,0.0007
dermamnist,entropy,vflip,0.8423940149625935,0.05579048359483256,0.5188716650009155,-0.1,0.0026
dermamnist,entropy,color_jitter,0.8428927680798005,0.05865193144638934,0.5044190883636475,-0.05,0.0055
dermamnist,entropy,elastic,0.8453865336658354,0.05250356302891583,0.5063941478729248,0.2,-0.0007
