dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
dermamnist,effb0,S2,baseline,10,0.8209476309226933,0.9618829742273766,0.04455938382339001,0.4864158034324646,8.579208129675774,1.2022
dermamnist,effb0,S2,maxprob,10,0.8229426433915212,0.9622008812348065,0.05482145363553207,0.49312132596969604,8.579208129675774,1.2022
dermamnist,effb0,S2,entropy,10,0.8209476309226933,0.9623700060821249,0.06216427187372621,0.4987230896949768,8.579208129675774,1.2022
dermamnist,effb0,S2,variance,10,0.8214463840399002,0.9623978168485908,0.06507150496627921,0.5012993216514587,8.579208129675774,1.2022
dermamnist,effb0,S2,variance_inv,10,0.8214463840399002,0.9604720889101059,0.021334303733416618,0.48506826162338257,8.579208129675774,1.2022
dermamnist,effb0,S2,mc_dropout,T=20,0.8194513715710723,0.9508474244056163,0.07793559818493757,0.6009546518325806,10.600393067331703,1.2022
dermamnist,effb0,S2,ts_only,1,0.8194513715710723,0.9506693048148164,0.05981326778036105,0.5606639981269836,0.5180400997506239,1.2022
dermamnist,effb0,S2,ts_entropy,10,0.8209476309226933,0.9626246946177032,0.044169082605927966,0.4827200174331665,8.579208129675774,1.2022
dermamnist,effb0,S2,top3,10,0.8249376558603492,0.9538351601994732,0.10700639730082487,0.6750628352165222,8.579208129675774,1.2022
dermamnist,effb0,S2,top5,10,0.8244389027431421,0.9583741126283745,0.09179503058554822,0.5965223908424377,8.579208129675774,1.2022
dermamnist,effb0,S2,top7,10,0.8219451371571073,0.9601164231260364,0.07939674045676903,0.5461450219154358,8.579208129675774,1.2022
