dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
dermamnist,resnet18,S2,baseline,10,0.8249376558603492,0.9582999021473457,0.07399382264239535,0.5722545385360718,,1.3554
dermamnist,resnet18,S2,maxprob,10,0.8244389027431421,0.9583372896379846,0.08227997227499906,0.580659806728363,,1.3554
dermamnist,resnet18,S2,entropy,10,0.8254364089775561,0.9584203324776334,0.08438565140947735,0.587099015712738,,1.3554
dermamnist,resnet18,S2,variance,10,0.8249376558603492,0.9584117487076563,0.0868731896330294,0.5885754227638245,,1.3554
dermamnist,resnet18,S2,variance_inv,10,0.8224438902743142,0.9578591880415706,0.059767852251666455,0.5625544190406799,,1.3554
dermamnist,resnet18,S2,mc_dropout,T=20,0.8174563591022443,0.9530369095527292,0.11119035460110613,0.7110919952392578,,1.3554
dermamnist,resnet18,S2,ts_only,1,0.8169576059850374,0.9521951087185764,0.09215295463428834,0.5999175906181335,,1.3554
dermamnist,resnet18,S2,ts_entropy,10,0.8244389027431421,0.9586382990282363,0.0637399194841076,0.5232508182525635,,1.3554
dermamnist,resnet18,S2,top3,10,0.830423940149626,0.9544212219975217,0.11415768045736968,0.7900094985961914,,1.3554
dermamnist,resnet18,S2,top5,10,0.827431421446384,0.9543774803502029,0.10729735634867982,0.7258910536766052,,1.3554
dermamnist,resnet18,S2,top7,10,0.8244389027431421,0.9567156705134986,0.10171468923811308,0.6830406785011292,,1.3554
