dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
dermamnist,resnet18,baseline,3,0.8319,0.0112,0.9594,0.0027,0.0711,0.0078,0.5749,0.0195
dermamnist,resnet18,maxprob,3,0.8313,0.0105,0.9595,0.0027,0.0794,0.0082,0.5828,0.0194
dermamnist,resnet18,entropy,3,0.8319,0.01,0.9596,0.0027,0.0821,0.0076,0.5895,0.0202
dermamnist,resnet18,variance,3,0.8319,0.0104,0.9596,0.0026,0.0838,0.0078,0.5907,0.0196
dermamnist,resnet18,variance_inv,3,0.8304,0.013,0.959,0.0027,0.0575,0.0096,0.5662,0.0196
dermamnist,resnet18,mc_dropout,3,0.8271,0.0109,0.9548,0.0028,0.107,0.0079,0.7258,0.0207
dermamnist,resnet18,ts_only,3,0.8281,0.0124,0.9543,0.003,0.0848,0.0093,0.6009,0.015
dermamnist,resnet18,ts_entropy,3,0.8319,0.0101,0.9599,0.0027,0.0612,0.0071,0.5205,0.0166
dermamnist,resnet18,top3,3,0.8302,0.0004,0.9535,0.0013,0.1178,0.0051,0.8346,0.063
dermamnist,resnet18,top5,3,0.8284,0.0014,0.9543,0.0001,0.1094,0.0029,0.757,0.044
dermamnist,resnet18,top7,3,0.8252,0.0011,0.956,0.0011,0.103,0.0018,0.7041,0.0298
