dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
dermamnist,resnet18,S2,baseline,10,0.8334164588528679,0.9633574822361156,0.07100608519782446,0.5594243407249451,,1.3861
dermamnist,resnet18,S2,maxprob,10,0.8339152119700748,0.9634944956466848,0.07834374149541304,0.5679476857185364,,1.3861
dermamnist,resnet18,S2,entropy,10,0.8339152119700748,0.9635664628122614,0.0820036897635519,0.575631856918335,,1.3861
dermamnist,resnet18,S2,variance,10,0.8339152119700748,0.963610690424897,0.08370840215028966,0.5767163038253784,,1.3861
dermamnist,resnet18,S2,variance_inv,10,0.8329177057356608,0.9627664408040741,0.05438138738534699,0.5494328141212463,,1.3861
dermamnist,resnet18,S2,mc_dropout,T=20,0.827930174563591,0.9583529812833753,0.11142527373354333,0.7265105247497559,,1.3861
dermamnist,resnet18,S2,ts_only,1,0.828428927680798,0.958077280776806,0.08810467080879686,0.5931107401847839,,1.3861
dermamnist,resnet18,S2,ts_entropy,10,0.8334164588528679,0.964273982679828,0.06261416911484298,0.5084865689277649,,1.3861
dermamnist,resnet18,S2,top3,10,0.829426433915212,0.9593893462325165,0.12212531254475846,0.8306057453155518,,1.3861
dermamnist,resnet18,S2,top5,10,0.8314214463840399,0.9600513336231976,0.10889860610117638,0.752647340297699,,1.3861
dermamnist,resnet18,S2,top7,10,0.8334164588528679,0.9622421667610223,0.09967970898621101,0.6853047609329224,,1.3861
