dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
bloodmnist,effb0,baseline,3,0.9843,0.0013,0.9994,0.0,0.006,0.0009,0.0562,0.0014
bloodmnist,effb0,maxprob,3,0.9844,0.0012,0.9994,0.0,0.0048,0.0004,0.0549,0.0016
bloodmnist,effb0,entropy,3,0.9843,0.001,0.9994,0.0,0.0039,0.0004,0.0539,0.0015
bloodmnist,effb0,variance,3,0.9842,0.0011,0.9994,0.0,0.0034,0.0004,0.0542,0.0016
bloodmnist,effb0,variance_inv,3,0.9834,0.001,0.9994,0.0,0.011,0.0003,0.0612,0.0009
bloodmnist,effb0,mc_dropout,3,0.9828,0.0003,0.9993,0.0,0.0103,0.001,0.0669,0.0023
bloodmnist,effb0,ts_only,3,0.9827,0.0004,0.9993,0.0,0.0101,0.001,0.0643,0.0012
bloodmnist,effb0,ts_entropy,3,0.9843,0.0009,0.9994,0.0,0.0035,0.0006,0.0531,0.0015
bloodmnist,effb0,top3,3,0.9844,0.0012,0.9994,0.0,0.0105,0.0011,0.0736,0.0029
bloodmnist,effb0,top5,3,0.9842,0.0013,0.9994,0.0,0.009,0.0007,0.065,0.0016
bloodmnist,effb0,top7,3,0.9845,0.001,0.9994,0.0,0.0078,0.0006,0.0596,0.0013
breastmnist,effb0,baseline,3,0.8376,0.0353,0.8615,0.0747,0.0786,0.0287,0.4073,0.0894
breastmnist,effb0,maxprob,3,0.8376,0.0417,0.8615,0.0745,0.0713,0.0174,0.4014,0.0889
breastmnist,effb0,entropy,3,0.8376,0.0417,0.8618,0.0748,0.0692,0.0225,0.4005,0.091
breastmnist,effb0,variance,3,0.8333,0.0357,0.8448,0.084,0.0522,0.0221,0.4006,0.0819
breastmnist,effb0,variance_inv,3,0.765,0.0289,0.8177,0.0721,0.1252,0.03,0.5099,0.0776
breastmnist,effb0,mc_dropout,3,0.8269,0.017,0.8248,0.101,0.0649,0.0295,0.4155,0.0951
breastmnist,effb0,ts_only,3,0.8205,0.0128,0.8248,0.1002,0.0714,0.0337,0.417,0.0978
breastmnist,effb0,ts_entropy,3,0.8376,0.0417,0.8624,0.0738,0.0686,0.0137,0.3939,0.0756
breastmnist,effb0,top3,3,0.8269,0.0294,0.8562,0.0697,0.0598,0.0205,0.4077,0.0662
breastmnist,effb0,top5,3,0.8333,0.0385,0.8539,0.0792,0.0585,0.0143,0.3915,0.082
breastmnist,effb0,top7,3,0.8333,0.0385,0.8558,0.0831,0.0476,0.0352,0.3902,0.0911
dermamnist,effb0,baseline,3,0.8326,0.0101,0.961,0.0022,0.042,0.0022,0.4936,0.0067
dermamnist,effb0,maxprob,3,0.8326,0.0084,0.9614,0.0022,0.052,0.0031,0.4989,0.0059
dermamnist,effb0,entropy,3,0.8329,0.0109,0.9617,0.002,0.0573,0.0043,0.5038,0.0057
dermamnist,effb0,variance,3,0.8326,0.0105,0.9617,0.002,0.0602,0.0043,0.5057,0.0052
dermamnist,effb0,variance_inv,3,0.8339,0.0108,0.9596,0.0023,0.0259,0.0049,0.4937,0.0078
dermamnist,effb0,mc_dropout,3,0.8256,0.0068,0.9517,0.0009,0.0809,0.0032,0.6081,0.0067
dermamnist,effb0,ts_only,3,0.8259,0.0067,0.9517,0.001,0.0606,0.0007,0.5541,0.0057
dermamnist,effb0,ts_entropy,3,0.8319,0.0101,0.9622,0.0017,0.0389,0.0046,0.4804,0.0051
dermamnist,effb0,top3,3,0.8324,0.007,0.9547,0.0021,0.1055,0.0015,0.6866,0.0108
dermamnist,effb0,top5,3,0.8337,0.0088,0.9572,0.0016,0.0887,0.003,0.6129,0.0147
dermamnist,effb0,top7,3,0.8333,0.0101,0.959,0.0011,0.075,0.0038,0.5624,0.0141
pathmnist,effb0,baseline,3,0.9487,0.0067,0.9939,0.001,0.0351,0.0017,0.2146,0.0274
pathmnist,effb0,maxprob,3,0.9484,0.0066,0.994,0.001,0.0273,0.0017,0.2096,0.0272
pathmnist,effb0,entropy,3,0.9485,0.0063,0.994,0.001,0.0223,0.0013,0.2061,0.0268
pathmnist,effb0,variance,3,0.9485,0.0063,0.994,0.001,0.0227,0.0015,0.2072,0.0271
pathmnist,effb0,variance_inv,3,0.9478,0.0067,0.9938,0.001,0.0599,0.0044,0.2337,0.0292
pathmnist,effb0,mc_dropout,3,0.9439,0.007,0.9956,0.0009,0.0326,0.0056,0.2405,0.0377
pathmnist,effb0,ts_only,3,0.9438,0.0071,0.9955,0.0009,0.0313,0.0081,0.2318,0.0504
pathmnist,effb0,ts_entropy,3,0.9486,0.0063,0.9942,0.0011,0.0232,0.0009,0.2013,0.03
pathmnist,effb0,top3,3,0.9427,0.0075,0.9952,0.0011,0.025,0.0032,0.2885,0.0491
pathmnist,effb0,top5,3,0.9475,0.006,0.9954,0.0011,0.0214,0.0029,0.2402,0.0395
pathmnist,effb0,top7,3,0.9485,0.0063,0.9953,0.0011,0.0203,0.0044,0.2175,0.0341
pneumoniamnist,effb0,baseline,3,0.867,0.0127,0.9765,0.0095,0.0722,0.0196,0.3987,0.0731
pneumoniamnist,effb0,maxprob,3,0.8659,0.0124,0.9767,0.0094,0.0811,0.0154,0.4098,0.0755
pneumoniamnist,effb0,entropy,3,0.8649,0.0118,0.9768,0.0095,0.0829,0.0158,0.4179,0.0769
pneumoniamnist,effb0,variance,3,0.8627,0.014,0.9753,0.0106,0.0967,0.0191,0.4633,0.0861
pneumoniamnist,effb0,variance_inv,3,0.8574,0.014,0.9729,0.0098,0.0565,0.0156,0.379,0.0591
pneumoniamnist,effb0,mc_dropout,3,0.8793,0.0113,0.9586,0.0122,0.0949,0.0164,0.5383,0.0925
pneumoniamnist,effb0,ts_only,3,0.8787,0.0114,0.9584,0.0122,0.0941,0.0197,0.5181,0.1192
pneumoniamnist,effb0,ts_entropy,3,0.8638,0.0131,0.977,0.0097,0.0825,0.0174,0.4093,0.0822
pneumoniamnist,effb0,top3,3,0.8515,0.0152,0.9669,0.0055,0.1225,0.0208,0.8236,0.117
pneumoniamnist,effb0,top5,3,0.8622,0.0127,0.9672,0.0076,0.1081,0.0209,0.6615,0.1106
pneumoniamnist,effb0,top7,3,0.867,0.0112,0.9667,0.0072,0.0954,0.0184,0.5803,0.09
