dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
organamnist,variance,(none/full),0.9476881538980763,0.04400869260349003,0.23756977915763855,0.0,0.0
organamnist,variance,hflip,0.9456631792102599,0.04766349762339526,0.25295141339302063,-0.202,0.0037
organamnist,variance,rotate,0.9479131510856115,0.04823320450269407,0.2446034997701645,0.022,0.0042
organamnist,variance,brightness,0.9476881538980763,0.04897889800831576,0.24400635063648224,0.0,0.005
organamnist,variance,gaussian_noise,0.9478006524918439,0.04922347916890512,0.24205802381038666,0.011,0.0052
organamnist,variance,center_crop,0.9475756553043087,0.04418443248810792,0.2550100088119507,-0.011,0.0002
organamnist,variance,contrast,0.9478006524918439,0.048815747457489886,0.2431105077266693,0.011,0.0048
organamnist,variance,sharpness,0.9476881538980763,0.048628648970389717,0.24302223324775696,0.0,0.0046
organamnist,variance,vflip,0.948025649679379,0.026354906685119788,0.18591158092021942,0.034,-0.0177
organamnist,variance,color_jitter,0.9478006524918439,0.04840169680213775,0.2433861494064331,0.011,0.0044
organamnist,variance,elastic,0.9473506581167735,0.04869517997462109,0.24459466338157654,-0.034,0.0047
