dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
organamnist,deit_tiny,S4,baseline,10,0.9534818314771065,0.9967452192776711,0.052425685842107744,0.21790891885757446,,1.0335
organamnist,deit_tiny,S4,maxprob,10,0.9537068286646417,0.9966469576416731,0.04839789539840446,0.21788723766803741,,1.0335
organamnist,deit_tiny,S4,entropy,10,0.9532568342895714,0.9965275654198813,0.045213392479828224,0.21825025975704193,,1.0335
organamnist,deit_tiny,S4,variance,10,0.9532568342895714,0.9965804977472937,0.046314665778427015,0.21874627470970154,,1.0335
organamnist,deit_tiny,S4,variance_inv,10,0.9535943300708741,0.9967546375794271,0.062126894815389994,0.2237822264432907,,1.0335
organamnist,deit_tiny,S4,mc_dropout,T=20,0.9524693441331983,0.9979503620160418,0.027239345670390172,0.18908002972602844,,1.0335
organamnist,deit_tiny,S4,ts_only,1,0.9525818427269659,0.998006754675907,0.02739380023948579,0.18930374085903168,,1.0335
organamnist,deit_tiny,S4,ts_entropy,10,0.9533693328833389,0.9965830466098192,0.044794107002460386,0.21648019552230835,,1.0335
organamnist,deit_tiny,S4,top3,10,0.9509506131173361,0.997144714397724,0.07758994863511798,0.29071953892707825,,1.0335
organamnist,deit_tiny,S4,top5,10,0.9541005737428282,0.9973330172705516,0.053143556142285164,0.24051518738269806,,1.0335
organamnist,deit_tiny,S4,top7,10,0.9539880751490606,0.9973999464147115,0.039038466217346454,0.21722811460494995,,1.0335
