dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
organamnist,deit_tiny,baseline,2,0.9536,0.0002,0.9966,0.0003,0.0536,0.0016,0.2204,0.0036
organamnist,deit_tiny,maxprob,2,0.9535,0.0004,0.9964,0.0003,0.0498,0.002,0.2198,0.0027
organamnist,deit_tiny,entropy,2,0.9531,0.0002,0.9963,0.0003,0.0466,0.002,0.2196,0.0019
organamnist,deit_tiny,variance,2,0.9532,0.0001,0.9963,0.0004,0.0479,0.0022,0.2202,0.002
organamnist,deit_tiny,variance_inv,2,0.9536,0.0,0.9965,0.0003,0.0644,0.0032,0.2275,0.0053
organamnist,deit_tiny,mc_dropout,2,0.953,0.0008,0.9979,0.0001,0.0286,0.0019,0.1953,0.0087
organamnist,deit_tiny,ts_only,2,0.9531,0.0008,0.998,0.0001,0.0284,0.0014,0.1935,0.0059
organamnist,deit_tiny,ts_entropy,2,0.9532,0.0002,0.9964,0.0003,0.0465,0.0024,0.2169,0.0006
organamnist,deit_tiny,top3,2,0.9511,0.0002,0.997,0.0002,0.0809,0.0047,0.3024,0.0165
organamnist,deit_tiny,top5,2,0.9535,0.0008,0.9973,0.0001,0.0551,0.0028,0.2481,0.0107
organamnist,deit_tiny,top7,2,0.9537,0.0004,0.9973,0.0001,0.0434,0.0062,0.2223,0.0072
