dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
organamnist,variance,(none/full),0.962425469681629,0.04578085125518579,0.17500485479831696,0.0,0.0
organamnist,variance,hflip,0.9624817189785128,0.049676343012424684,0.1826196163892746,0.006,0.0039
organamnist,variance,rotate,0.9628192147598155,0.050110420270193565,0.18107137084007263,0.039,0.0043
organamnist,variance,brightness,0.962706716166048,0.05101171806613915,0.18052682280540466,0.028,0.0052
organamnist,variance,gaussian_noise,0.9615817302283721,0.05006753781948492,0.184502974152565,-0.084,0.0043
organamnist,variance,center_crop,0.9618629767127911,0.04806655338429023,0.18719422817230225,-0.056,0.0023
organamnist,variance,contrast,0.9628192147598155,0.05168450072815074,0.18006578087806702,0.039,0.0059
organamnist,variance,sharpness,0.9626504668691641,0.05105455005506871,0.1800483763217926,0.022,0.0053
organamnist,variance,vflip,0.9628754640566993,0.012251034891971506,0.12231412529945374,0.045,-0.0335
organamnist,variance,color_jitter,0.9625942175722804,0.05018762098695504,0.18059875071048737,0.017,0.0044
organamnist,variance,elastic,0.96214422319721,0.050302366018362354,0.1823633760213852,-0.028,0.0045
