dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
organamnist,effb0,baseline,3,0.9591,0.0037,0.9975,0.0005,0.0581,0.0027,0.1855,0.006
organamnist,effb0,maxprob,3,0.9591,0.0033,0.9974,0.0005,0.0545,0.0032,0.1836,0.0064
organamnist,effb0,entropy,3,0.9593,0.0035,0.9974,0.0004,0.0515,0.0038,0.1823,0.0066
organamnist,effb0,variance,3,0.9592,0.0036,0.9974,0.0005,0.0524,0.004,0.1831,0.0066
organamnist,effb0,variance_inv,3,0.9588,0.0032,0.9976,0.0005,0.0676,0.0019,0.1957,0.006
organamnist,effb0,mc_dropout,3,0.9583,0.0023,0.9986,0.0003,0.0275,0.0033,0.1751,0.0154
organamnist,effb0,ts_only,3,0.9582,0.0024,0.9986,0.0003,0.0257,0.0031,0.1606,0.009
organamnist,effb0,ts_entropy,3,0.9592,0.0036,0.9975,0.0004,0.0516,0.0033,0.1781,0.0053
organamnist,effb0,top3,3,0.9582,0.0028,0.9975,0.0003,0.076,0.0011,0.2749,0.0234
organamnist,effb0,top5,3,0.9596,0.0031,0.9978,0.0003,0.0518,0.001,0.2162,0.015
organamnist,effb0,top7,3,0.9593,0.0033,0.9979,0.0003,0.045,0.0027,0.1898,0.0083
