dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
organamnist,resnet18,S4,baseline,10,0.9530318371020362,0.9960031410620833,0.05661828030059621,0.22553801536560059,,1.2561
organamnist,resnet18,S4,maxprob,10,0.9530880863989201,0.9958898746902104,0.052819002571839815,0.22406083345413208,,1.2561
organamnist,resnet18,S4,entropy,10,0.9534255821802228,0.9958011055405016,0.049819337317881615,0.22318969666957855,,1.2561
organamnist,resnet18,S4,variance,10,0.9534255821802228,0.9958085731532667,0.05072967331097522,0.22405898571014404,,1.2561
organamnist,resnet18,S4,variance_inv,10,0.9533693328833389,0.9961294568140763,0.06803853013730314,0.2371233105659485,,1.2561
organamnist,resnet18,S4,mc_dropout,T=20,0.9534255821802228,0.9978916646016337,0.0316264082250505,0.21412250399589539,,1.2561
organamnist,resnet18,S4,ts_only,1,0.9534255821802228,0.997899890202843,0.027098650666575498,0.18293055891990662,,1.2561
organamnist,resnet18,S4,ts_entropy,10,0.9531443356958038,0.9960857089334813,0.04905931790730107,0.21092750132083893,,1.2561
organamnist,resnet18,S4,top3,10,0.9499381257734278,0.9965816440729397,0.07383146808632635,0.32898852229118347,,1.2561
organamnist,resnet18,S4,top5,10,0.9519631004612442,0.9969193554862009,0.04726374753650173,0.26732656359672546,,1.2561
organamnist,resnet18,S4,top7,10,0.9526943413207335,0.996992893575926,0.03951690026739878,0.23903360962867737,,1.2561
