dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
organamnist,resnet18,baseline,3,0.9516,0.0032,0.996,0.0004,0.0563,0.0014,0.2349,0.01
organamnist,resnet18,maxprob,3,0.9519,0.0034,0.9959,0.0003,0.0527,0.0022,0.2336,0.0103
organamnist,resnet18,entropy,3,0.9517,0.0033,0.9958,0.0003,0.0486,0.0021,0.2326,0.0101
organamnist,resnet18,variance,3,0.9518,0.0035,0.9958,0.0003,0.05,0.0021,0.2336,0.0102
organamnist,resnet18,variance_inv,3,0.9517,0.0036,0.9961,0.0003,0.0699,0.0025,0.2455,0.009
organamnist,resnet18,mc_dropout,3,0.9517,0.0038,0.998,0.0003,0.032,0.0033,0.2148,0.0221
organamnist,resnet18,ts_only,3,0.9517,0.0038,0.998,0.0004,0.029,0.0047,0.1953,0.029
organamnist,resnet18,ts_entropy,3,0.9515,0.0031,0.9961,0.0004,0.0484,0.0019,0.2235,0.0139
organamnist,resnet18,top3,3,0.9492,0.003,0.9967,0.0003,0.0804,0.0101,0.327,0.0222
organamnist,resnet18,top5,3,0.9516,0.0028,0.997,0.0003,0.0536,0.0084,0.2683,0.0208
organamnist,resnet18,top7,3,0.9519,0.0033,0.9971,0.0002,0.0432,0.0049,0.2422,0.0167
