dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
pathmnist,entropy,(none/full),0.9424791086350975,0.02885985132047394,0.1944587528705597,0.0,0.0
pathmnist,entropy,hflip,0.9416434540389972,0.030301937245060775,0.1994994729757309,-0.084,0.0014
pathmnist,entropy,rotate,0.9426183844011142,0.03049067179140605,0.19525854289531708,0.014,0.0016
pathmnist,entropy,brightness,0.9416434540389972,0.02228663581576519,0.1910373866558075,-0.084,-0.0066
pathmnist,entropy,gaussian_noise,0.9435933147632312,0.0322433736579996,0.19480901956558228,0.111,0.0034
pathmnist,entropy,center_crop,0.9410863509749303,0.025473924114013443,0.19702906906604767,-0.139,-0.0034
pathmnist,entropy,contrast,0.9413649025069638,0.02928246035549304,0.1961425393819809,-0.111,0.0004
pathmnist,entropy,sharpness,0.9416434540389972,0.030695827591718097,0.196803018450737,-0.084,0.0018
pathmnist,entropy,vflip,0.9409470752089136,0.02960698077854674,0.20012593269348145,-0.153,0.0007
pathmnist,entropy,color_jitter,0.9398328690807799,0.01986393331651235,0.19107672572135925,-0.265,-0.009
pathmnist,entropy,elastic,0.9413649025069638,0.026937378312053815,0.19678300619125366,-0.111,-0.0019
