dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
pathmnist,entropy,(none/full),0.9302228412256267,0.009346281382200745,0.24816177785396576,0.0,0.0
pathmnist,entropy,hflip,0.9286908077994429,0.012511636287721074,0.25235822796821594,-0.153,0.0032
pathmnist,entropy,rotate,0.9291086350974931,0.014412277347530127,0.24993671476840973,-0.111,0.0051
pathmnist,entropy,brightness,0.9305013927576602,0.01410907539318531,0.24624842405319214,0.028,0.0048
pathmnist,entropy,gaussian_noise,0.9310584958217271,0.007923267852297041,0.2475692182779312,0.084,-0.0014
pathmnist,entropy,center_crop,0.9289693593314763,0.012742045563243584,0.25525376200675964,-0.125,0.0034
pathmnist,entropy,contrast,0.9310584958217271,0.012256581271923311,0.24500484764575958,0.084,0.0029
pathmnist,entropy,sharpness,0.9303621169916435,0.012774207868449853,0.2442515790462494,0.014,0.0034
pathmnist,entropy,vflip,0.9289693593314763,0.011375264055549589,0.25392529368400574,-0.125,0.002
pathmnist,entropy,color_jitter,0.9296657381615598,0.019769994333427944,0.24793380498886108,-0.056,0.0104
pathmnist,entropy,elastic,0.9309192200557103,0.011536449044527783,0.25032687187194824,0.07,0.0022
