dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pathmnist,deit_tiny,S1,baseline,10,0.9285515320334262,0.9913058320931596,0.013138429380558996,0.25571879744529724,,1.1281
pathmnist,deit_tiny,S1,maxprob,10,0.9292479108635098,0.9914225241053687,0.011859299790394379,0.2533631920814514,,1.1281
pathmnist,deit_tiny,S1,entropy,10,0.9303621169916435,0.9915801087452402,0.01068838736390006,0.2512064576148987,,1.1281
pathmnist,deit_tiny,S1,variance,10,0.93008356545961,0.9915012509652291,0.010711894186426305,0.25260621309280396,,1.1281
pathmnist,deit_tiny,S1,variance_inv,10,0.9267409470752089,0.9909050331365583,0.028756552930495866,0.26855477690696716,,1.1281
pathmnist,deit_tiny,S1,mc_dropout,T=20,0.9220055710306406,0.9928322438572715,0.044248869824210266,0.30829283595085144,,1.1281
pathmnist,deit_tiny,S1,ts_only,1,0.9227019498607242,0.992835768692157,0.04089237970811074,0.2922324240207672,,1.1281
pathmnist,deit_tiny,S1,ts_entropy,10,0.9309192200557103,0.9918264616346136,0.008699251503831506,0.24105894565582275,,1.1281
pathmnist,deit_tiny,S1,top3,10,0.9303621169916435,0.9933265895642523,0.04015262336119969,0.33335253596305847,,1.1281
pathmnist,deit_tiny,S1,top5,10,0.9298050139275766,0.9933582052246995,0.03258543075127192,0.2941269278526306,,1.1281
pathmnist,deit_tiny,S1,top7,10,0.9285515320334262,0.9933481714807155,0.02834550939645611,0.27186036109924316,,1.1281
