dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
pathmnist,entropy,(none/full),0.9505571030640668,0.018835548234683256,0.19823385775089264,0.0,0.0
pathmnist,entropy,hflip,0.9493036211699164,0.02063266857420838,0.20449592173099518,-0.125,0.0018
pathmnist,entropy,rotate,0.9505571030640668,0.021253356254532507,0.20320776104927063,0.0,0.0024
pathmnist,entropy,brightness,0.95,0.008349814749527777,0.19496440887451172,-0.056,-0.0105
pathmnist,entropy,gaussian_noise,0.9512534818941504,0.02161148926839853,0.20177008211612701,0.07,0.0028
pathmnist,entropy,center_crop,0.9505571030640668,0.0186736403567545,0.1961134672164917,0.0,-0.0002
pathmnist,entropy,contrast,0.9494428969359332,0.017982663973792324,0.2026243358850479,-0.111,-0.0009
pathmnist,entropy,sharpness,0.9502785515320334,0.021095414123495315,0.20120608806610107,-0.028,0.0023
pathmnist,entropy,vflip,0.9493036211699164,0.02095651282075387,0.20701058208942413,-0.125,0.0021
pathmnist,entropy,color_jitter,0.9495821727019499,0.009137756616126192,0.19176189601421356,-0.097,-0.0097
pathmnist,entropy,elastic,0.9504178272980501,0.02074584295988751,0.19724947214126587,-0.014,0.0019
