dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pathmnist,effb0,S1,baseline,10,0.9410863509749303,0.9931129521521095,0.037042066172637014,0.24382951855659485,8.712104094707518,1.002
pathmnist,effb0,S1,maxprob,10,0.9409470752089136,0.9931472019028652,0.029325745207021522,0.23844310641288757,8.712104094707518,1.002
pathmnist,effb0,S1,entropy,10,0.9413649025069638,0.9932480332075596,0.023706041234947507,0.2343905121088028,8.712104094707518,1.002
pathmnist,effb0,S1,variance,10,0.9413649025069638,0.9931949502064437,0.024474655037802908,0.2357749044895172,8.712104094707518,1.002
pathmnist,effb0,S1,variance_inv,10,0.9401114206128134,0.9929174217715409,0.06491455639139193,0.26540347933769226,8.712104094707518,1.002
pathmnist,effb0,S1,mc_dropout,T=20,0.9357938718662953,0.9946348950510254,0.039088352551699325,0.2812277674674988,10.95121189415041,1.002
pathmnist,effb0,S1,ts_only,1,0.9356545961002786,0.9945816605776181,0.040583714772233756,0.2886022925376892,0.5552560306406783,1.002
pathmnist,effb0,S1,ts_entropy,10,0.9413649025069638,0.9932511090656289,0.023624708511786194,0.2342441976070404,8.712104094707518,1.002
pathmnist,effb0,S1,top3,10,0.9350974930362117,0.9941903873478197,0.028294357644980284,0.33534857630729675,8.712104094707518,1.002
pathmnist,effb0,S1,top5,10,0.9409470752089136,0.9944069050371941,0.02441876693771409,0.28151944279670715,8.712104094707518,1.002
pathmnist,effb0,S1,top7,10,0.9412256267409471,0.9943111568833819,0.02517685634927168,0.2526015043258667,8.712104094707518,1.002
