dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
pathmnist,effb0,baseline,3,0.9487,0.0067,0.9939,0.001,0.0351,0.0017,0.2146,0.0274
pathmnist,effb0,maxprob,3,0.9484,0.0066,0.994,0.001,0.0273,0.0017,0.2096,0.0272
pathmnist,effb0,entropy,3,0.9485,0.0063,0.994,0.001,0.0223,0.0013,0.2061,0.0268
pathmnist,effb0,variance,3,0.9485,0.0063,0.994,0.001,0.0227,0.0015,0.2072,0.0271
pathmnist,effb0,variance_inv,3,0.9478,0.0067,0.9938,0.001,0.0599,0.0044,0.2337,0.0292
pathmnist,effb0,mc_dropout,3,0.9439,0.007,0.9956,0.0009,0.0326,0.0056,0.2405,0.0377
pathmnist,effb0,ts_only,3,0.9438,0.0071,0.9955,0.0009,0.0313,0.0081,0.2318,0.0504
pathmnist,effb0,ts_entropy,3,0.9486,0.0063,0.9942,0.0011,0.0232,0.0009,0.2013,0.03
pathmnist,effb0,top3,3,0.9427,0.0075,0.9952,0.0011,0.025,0.0032,0.2885,0.0491
pathmnist,effb0,top5,3,0.9475,0.006,0.9954,0.0011,0.0214,0.0029,0.2402,0.0395
pathmnist,effb0,top7,3,0.9485,0.0063,0.9953,0.0011,0.0203,0.0044,0.2175,0.0341
