dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
pathmnist,resnet18,baseline,3,0.9184,0.0076,0.9904,0.0017,0.0239,0.0015,0.2989,0.0167
pathmnist,resnet18,maxprob,3,0.9187,0.0077,0.9904,0.0017,0.019,0.0014,0.2962,0.0171
pathmnist,resnet18,entropy,3,0.9193,0.008,0.9905,0.0017,0.016,0.0022,0.2945,0.0176
pathmnist,resnet18,variance,3,0.9194,0.0078,0.9905,0.0017,0.0163,0.0022,0.2955,0.0175
pathmnist,resnet18,variance_inv,3,0.9182,0.008,0.9901,0.0018,0.048,0.0099,0.3118,0.0157
pathmnist,resnet18,mc_dropout,3,0.9129,0.0087,0.9927,0.0019,0.0569,0.0081,0.3671,0.039
pathmnist,resnet18,ts_only,3,0.9131,0.0084,0.9927,0.0019,0.0535,0.0066,0.3386,0.0332
pathmnist,resnet18,ts_entropy,3,0.9195,0.008,0.9908,0.0018,0.0165,0.0013,0.2822,0.0189
pathmnist,resnet18,top3,3,0.9143,0.007,0.9931,0.0018,0.0393,0.0067,0.4169,0.0367
pathmnist,resnet18,top5,3,0.9186,0.008,0.9931,0.0018,0.0334,0.0035,0.3486,0.0266
pathmnist,resnet18,top7,3,0.9193,0.0079,0.9929,0.0016,0.0268,0.0027,0.3138,0.0196
