dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pathmnist,resnet18,S1,baseline,10,0.9415041782729805,0.9957147552958168,0.043842672413438116,0.2060716599225998,,0.9594
pathmnist,resnet18,S1,maxprob,10,0.9428969359331476,0.9958389019576279,0.03654845030692956,0.1990889459848404,,0.9594
pathmnist,resnet18,S1,entropy,10,0.9431754874651811,0.9959447008225872,0.03244530840006378,0.19503523409366608,,0.9594
pathmnist,resnet18,S1,variance,10,0.943732590529248,0.9959224488565793,0.03163500331487498,0.1953403502702713,,0.9594
pathmnist,resnet18,S1,variance_inv,10,0.9399721448467967,0.9954188663694461,0.06370710541278872,0.22673945128917694,,0.9594
pathmnist,resnet18,S1,mc_dropout,T=20,0.9334261838440111,0.9961394212997323,0.010416197606614035,0.1999502182006836,,0.9594
pathmnist,resnet18,S1,ts_only,1,0.9341225626740947,0.9961358571022587,0.014382222375746854,0.20286844670772552,,0.9594
pathmnist,resnet18,S1,ts_entropy,10,0.9435933147632312,0.9959000266595481,0.029859914836113128,0.19452092051506042,,0.9594
pathmnist,resnet18,S1,top3,10,0.9392757660167131,0.9962937915990894,0.022817148538021005,0.20768260955810547,,0.9594
pathmnist,resnet18,S1,top5,10,0.9430362116991643,0.9964516134131473,0.02119937834633424,0.19078966975212097,,0.9594
pathmnist,resnet18,S1,top7,10,0.9409470752089136,0.9964570150336132,0.016966803741322225,0.1869618147611618,,0.9594
