dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
pneumoniamnist,maxprob,(none/full),0.8653846153846154,0.08446531055065305,0.4831794798374176,0.0,0.0
pneumoniamnist,maxprob,hflip,0.8637820512820513,0.08594934728283149,0.4994859993457794,-0.16,0.0015
pneumoniamnist,maxprob,rotate,0.8637820512820513,0.08530372371658304,0.4819340705871582,-0.16,0.0008
pneumoniamnist,maxprob,brightness,0.8621794871794872,0.0842003546273097,0.486024409532547,-0.321,-0.0003
pneumoniamnist,maxprob,gaussian_noise,0.8589743589743589,0.08594856659571332,0.4906068444252014,-0.641,0.0015
pneumoniamnist,maxprob,center_crop,0.8653846153846154,0.0898291552678133,0.45859336853027344,0.0,0.0054
pneumoniamnist,maxprob,contrast,0.8621794871794872,0.08330304252031526,0.4807812571525574,-0.321,-0.0012
pneumoniamnist,maxprob,sharpness,0.8605769230769231,0.08478353650141988,0.48000213503837585,-0.481,0.0003
pneumoniamnist,maxprob,vflip,0.8669871794871795,0.08800973351567222,0.5437182784080505,0.16,0.0035
pneumoniamnist,maxprob,color_jitter,0.8637820512820513,0.08956813525695073,0.4831027388572693,-0.16,0.0051
pneumoniamnist,maxprob,elastic,0.8653846153846154,0.0824964281458121,0.4765342175960541,0.0,-0.002
