dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
pneumoniamnist,entropy,(none/full),0.8028846153846154,0.1425342766138224,0.6980293393135071,0.0,0.0
pneumoniamnist,entropy,hflip,0.8076923076923077,0.13801820738575393,0.7059309482574463,0.481,-0.0045
pneumoniamnist,entropy,rotate,0.8028846153846154,0.1421640010980459,0.7090156674385071,0.0,-0.0004
pneumoniamnist,entropy,brightness,0.8028846153846154,0.1418163331273275,0.7067430019378662,0.0,-0.0007
pneumoniamnist,entropy,gaussian_noise,0.8028846153846154,0.1405633559020666,0.6972360014915466,0.0,-0.002
pneumoniamnist,entropy,center_crop,0.8125,0.13956278218672827,0.6661280393600464,0.962,-0.003
pneumoniamnist,entropy,contrast,0.8028846153846154,0.1405110106063195,0.702665388584137,0.0,-0.002
pneumoniamnist,entropy,sharpness,0.8044871794871795,0.13878470401351267,0.7025429010391235,0.16,-0.0037
pneumoniamnist,entropy,vflip,0.8108974358974359,0.14215154745257821,0.8205867409706116,0.801,-0.0004
pneumoniamnist,entropy,color_jitter,0.8028846153846154,0.13990344107151031,0.6990401148796082,0.0,-0.0026
pneumoniamnist,entropy,elastic,0.8092948717948718,0.13473285247500125,0.6846411228179932,0.641,-0.0078
