dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pneumoniamnist,deit_tiny,S5,baseline,10,0.8397435897435898,0.9654941924172693,0.10906431499199987,0.6399402022361755,,1.1069
pneumoniamnist,deit_tiny,S5,maxprob,10,0.8381410256410257,0.9655161078238002,0.10720537440517014,0.6487874984741211,,1.1069
pneumoniamnist,deit_tiny,S5,entropy,10,0.8381410256410257,0.9655982905982905,0.11264953026786825,0.656939685344696,,1.1069
pneumoniamnist,deit_tiny,S5,variance,10,0.8333333333333334,0.9661187815033968,0.1277063818505177,0.6945282220840454,,1.1069
pneumoniamnist,deit_tiny,S5,variance_inv,10,0.8301282051282052,0.96419570458032,0.10347042137231585,0.6324300765991211,,1.1069
pneumoniamnist,deit_tiny,S5,mc_dropout,T=20,0.8541666666666666,0.958503177733947,0.1203824063906303,0.7040318250656128,,1.1069
pneumoniamnist,deit_tiny,S5,ts_only,1,0.8541666666666666,0.9582730659653738,0.1151766774172966,0.6514821648597717,,1.1069
pneumoniamnist,deit_tiny,S5,ts_entropy,10,0.8349358974358975,0.9657407407407407,0.11016727859775222,0.6159436702728271,,1.1069
pneumoniamnist,deit_tiny,S5,top3,10,0.8269230769230769,0.9586127547666009,0.15260698168705678,1.0291739702224731,,1.1069
pneumoniamnist,deit_tiny,S5,top5,10,0.8301282051282052,0.9595003287310981,0.13562619122557146,0.8567525148391724,,1.1069
pneumoniamnist,deit_tiny,S5,top7,10,0.8381410256410257,0.9613028709182555,0.12858236132141868,0.7866324186325073,,1.1069
