dataset,strategy,removed,accuracy,ece,nll,d_acc_pp,d_ece
pneumoniamnist,maxprob,(none/full),0.8830128205128205,0.055423119224799006,0.32671964168548584,0.0,0.0
pneumoniamnist,maxprob,hflip,0.8814102564102564,0.0553378910781481,0.32684701681137085,-0.16,-0.0001
pneumoniamnist,maxprob,rotate,0.8814102564102564,0.05468203738713873,0.3263653814792633,-0.16,-0.0007
pneumoniamnist,maxprob,brightness,0.8878205128205128,0.05419818808635074,0.32396116852760315,0.481,-0.0012
pneumoniamnist,maxprob,gaussian_noise,0.8846153846153846,0.0595499327740608,0.31406858563423157,0.16,0.0041
pneumoniamnist,maxprob,center_crop,0.8894230769230769,0.05776402201407993,0.3044891953468323,0.641,0.0023
pneumoniamnist,maxprob,contrast,0.8830128205128205,0.05270239834984147,0.32576319575309753,0.0,-0.0027
pneumoniamnist,maxprob,sharpness,0.8830128205128205,0.05253180374319739,0.32564255595207214,0.0,-0.0029
pneumoniamnist,maxprob,vflip,0.8814102564102564,0.06392323206632566,0.4233090281486511,-0.16,0.0085
pneumoniamnist,maxprob,color_jitter,0.8830128205128205,0.05222577897784039,0.3241592049598694,0.0,-0.0032
pneumoniamnist,maxprob,elastic,0.8846153846153846,0.05365879031328053,0.32696953415870667,0.16,-0.0018
