dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pneumoniamnist,effb0,S5,baseline,10,0.8814102564102564,0.9806925268463731,0.04959068858088593,0.3187868297100067,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,maxprob,10,0.8798076923076923,0.9809664694280079,0.0638992784497065,0.327176034450531,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,entropy,10,0.8782051282051282,0.9812075388998467,0.0651659108698368,0.33368614315986633,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,variance,10,0.8782051282051282,0.9802323033092264,0.07491093663833082,0.3694327771663666,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,variance_inv,10,0.8733974358974359,0.9747315362699978,0.03989824929680579,0.313629686832428,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,mc_dropout,T=20,0.8910256410256411,0.9653681788297173,0.0803371691742005,0.47322142124176025,11.19677083333269,1.1456
pneumoniamnist,effb0,S5,ts_only,1,0.8910256410256411,0.9654941924172693,0.07614560788258529,0.42752328515052795,0.6638248397431804,1.1456
pneumoniamnist,effb0,S5,ts_entropy,10,0.8782051282051282,0.9817773394696472,0.06266810477544099,0.3217442035675049,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,top3,10,0.8669871794871795,0.9664146394915627,0.09843309214099856,0.7129092812538147,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,top5,10,0.8766025641025641,0.9687595879903572,0.08427765631140806,0.558625340461731,9.402177884615307,1.1456
pneumoniamnist,effb0,S5,top7,10,0.8798076923076923,0.9712524654832346,0.07533247482318145,0.4888138473033905,9.402177884615307,1.1456
