dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pneumoniamnist,resnet18,S5,baseline,10,0.8509615384615384,0.9748301555993863,0.11078033004051599,0.631028413772583,,1.2178
pneumoniamnist,resnet18,S5,maxprob,10,0.8477564102564102,0.9749780845934692,0.11269143930612466,0.637567400932312,,1.2178
pneumoniamnist,resnet18,S5,entropy,10,0.844551282051282,0.9751972386587773,0.10807670824802837,0.643658459186554,,1.2178
pneumoniamnist,resnet18,S5,variance,10,0.8413461538461539,0.9755314486083717,0.1271292656086958,0.6725481152534485,,1.2178
pneumoniamnist,resnet18,S5,variance_inv,10,0.8381410256410257,0.9740631163708087,0.12043979085790807,0.6284592151641846,,1.2178
pneumoniamnist,resnet18,S5,mc_dropout,T=20,0.8653846153846154,0.9735426254657024,0.11418333468146812,0.714424729347229,,1.2178
pneumoniamnist,resnet18,S5,ts_only,1,0.8637820512820513,0.9739042296734605,0.1106455166561481,0.6022698879241943,,1.2178
pneumoniamnist,resnet18,S5,ts_entropy,10,0.8413461538461539,0.9765285996055227,0.10878229112579271,0.5648221969604492,,1.2178
pneumoniamnist,resnet18,S5,top3,10,0.8333333333333334,0.9743041858426474,0.1456988380314448,0.9704024195671082,,1.2178
pneumoniamnist,resnet18,S5,top5,10,0.844551282051282,0.9750712250712252,0.13693702297332955,0.846057116985321,,1.2178
pneumoniamnist,resnet18,S5,top7,10,0.8493589743589743,0.9769888231426693,0.1208344934842525,0.7839054465293884,,1.2178
