dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
pneumoniamnist,resnet18,baseline,3,0.8531,0.0067,0.9785,0.0038,0.0951,0.0137,0.516,0.1009
pneumoniamnist,resnet18,maxprob,3,0.852,0.0074,0.9787,0.0038,0.0979,0.013,0.5246,0.0989
pneumoniamnist,resnet18,entropy,3,0.851,0.0097,0.9789,0.0039,0.0967,0.0113,0.5315,0.0981
pneumoniamnist,resnet18,variance,3,0.8478,0.0085,0.978,0.0022,0.1128,0.0142,0.5681,0.0905
pneumoniamnist,resnet18,variance_inv,3,0.8462,0.0153,0.9772,0.0034,0.0918,0.028,0.5069,0.1083
pneumoniamnist,resnet18,mc_dropout,3,0.8649,0.0088,0.9744,0.0031,0.11,0.0045,0.6238,0.0803
pneumoniamnist,resnet18,ts_only,3,0.8649,0.0081,0.9745,0.003,0.1048,0.0077,0.5482,0.0496
pneumoniamnist,resnet18,ts_entropy,3,0.8494,0.01,0.9797,0.0035,0.096,0.0122,0.4841,0.07
pneumoniamnist,resnet18,top3,3,0.8381,0.0068,0.9762,0.0027,0.1391,0.0093,0.8624,0.1527
pneumoniamnist,resnet18,top5,3,0.8462,0.0023,0.9776,0.0035,0.1309,0.0085,0.7474,0.1395
pneumoniamnist,resnet18,top7,3,0.8478,0.0023,0.979,0.0029,0.1161,0.0067,0.6841,0.1412
