dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pneumoniamnist,resnet18,S5,baseline,10,0.8669871794871795,0.9781010300241069,0.08149218845825931,0.4734828770160675,,1.2209
pneumoniamnist,resnet18,S5,maxprob,10,0.8621794871794872,0.9782599167214553,0.08311415081604936,0.4810563027858734,,1.2209
pneumoniamnist,resnet18,S5,entropy,10,0.8605769230769231,0.9784900284900284,0.08659089194276394,0.4880397617816925,,1.2209
pneumoniamnist,resnet18,S5,variance,10,0.8509615384615384,0.9786872671488056,0.10466243670536923,0.5175281763076782,,1.2209
pneumoniamnist,resnet18,S5,variance_inv,10,0.8669871794871795,0.9763532763532764,0.08930437696667816,0.46873557567596436,,1.2209
pneumoniamnist,resnet18,S5,mc_dropout,T=20,0.8733974358974359,0.9715866754328293,0.1042299305017178,0.5958744883537292,,1.2209
pneumoniamnist,resnet18,S5,ts_only,1,0.8733974358974359,0.9718551391628315,0.09611651358696134,0.5050003528594971,,1.2209
pneumoniamnist,resnet18,S5,ts_entropy,10,0.8605769230769231,0.9791036598728906,0.08296442662294096,0.43973463773727417,,1.2209
pneumoniamnist,resnet18,S5,top3,10,0.8493589743589743,0.9711374095989479,0.11968253103968426,0.7572304010391235,,1.2209
pneumoniamnist,resnet18,S5,top5,10,0.8557692307692307,0.9714606618452771,0.1084575147773975,0.6815764904022217,,1.2209
pneumoniamnist,resnet18,S5,top7,10,0.8621794871794872,0.9717072101687487,0.10025167341033615,0.6324663162231445,,1.2209
