dataset,arch,strategy,n_seeds,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,ece_mean,ece_std,nll_mean,nll_std
bloodmnist,deit_tiny,baseline,2,0.9746,0.0021,0.9989,0.0001,0.0078,0.0002,0.0798,0.0043
bloodmnist,deit_tiny,maxprob,2,0.9754,0.0017,0.9989,0.0001,0.0051,0.0011,0.0784,0.0046
bloodmnist,deit_tiny,entropy,2,0.9762,0.0023,0.9989,0.0001,0.0055,0.0008,0.0774,0.0042
bloodmnist,deit_tiny,variance,2,0.9757,0.0017,0.9989,0.0001,0.0045,0.0016,0.0776,0.0045
bloodmnist,deit_tiny,variance_inv,2,0.9746,0.0029,0.9988,0.0001,0.0136,0.0011,0.085,0.0037
bloodmnist,deit_tiny,mc_dropout,2,0.9727,0.001,0.9987,0.0001,0.0123,0.0005,0.0918,0.0048
bloodmnist,deit_tiny,ts_only,2,0.9727,0.001,0.9987,0.0001,0.0109,0.0011,0.0903,0.0047
bloodmnist,deit_tiny,ts_entropy,2,0.9763,0.0025,0.9989,0.0001,0.006,0.0016,0.0771,0.0036
bloodmnist,deit_tiny,top3,2,0.9759,0.0019,0.9989,0.0,0.0133,0.0004,0.0907,0.0021
bloodmnist,deit_tiny,top5,2,0.9765,0.0006,0.9989,0.0001,0.0098,0.0018,0.0841,0.0046
bloodmnist,deit_tiny,top7,2,0.9759,0.0014,0.9989,0.0001,0.0077,0.0013,0.0813,0.0056
bloodmnist,effb0,baseline,3,0.9843,0.0013,0.9994,0.0,0.006,0.0009,0.0562,0.0014
bloodmnist,effb0,maxprob,3,0.9844,0.0012,0.9994,0.0,0.0048,0.0004,0.0549,0.0016
bloodmnist,effb0,entropy,3,0.9843,0.001,0.9994,0.0,0.0039,0.0004,0.0539,0.0015
bloodmnist,effb0,variance,3,0.9842,0.0011,0.9994,0.0,0.0034,0.0004,0.0542,0.0016
bloodmnist,effb0,variance_inv,3,0.9834,0.001,0.9994,0.0,0.011,0.0003,0.0612,0.0009
bloodmnist,effb0,mc_dropout,3,0.9828,0.0003,0.9993,0.0,0.0103,0.001,0.0669,0.0023
bloodmnist,effb0,ts_only,3,0.9827,0.0004,0.9993,0.0,0.0101,0.001,0.0643,0.0012
bloodmnist,effb0,ts_entropy,3,0.9843,0.0009,0.9994,0.0,0.0035,0.0006,0.0531,0.0015
bloodmnist,effb0,top3,3,0.9844,0.0012,0.9994,0.0,0.0105,0.0011,0.0736,0.0029
bloodmnist,effb0,top5,3,0.9842,0.0013,0.9994,0.0,0.009,0.0007,0.065,0.0016
bloodmnist,effb0,top7,3,0.9845,0.001,0.9994,0.0,0.0078,0.0006,0.0596,0.0013
bloodmnist,resnet18,baseline,3,0.9828,0.0003,0.9991,0.0001,0.0091,0.0002,0.0685,0.0024
bloodmnist,resnet18,maxprob,3,0.9831,0.0004,0.9991,0.0001,0.0068,0.0008,0.0669,0.0024
bloodmnist,resnet18,entropy,3,0.9833,0.0003,0.9991,0.0001,0.0054,0.001,0.0658,0.0023
bloodmnist,resnet18,variance,3,0.9832,0.0007,0.9991,0.0001,0.0054,0.0006,0.066,0.0024
bloodmnist,resnet18,variance_inv,3,0.9829,0.0006,0.999,0.0001,0.015,0.0014,0.074,0.0022
bloodmnist,resnet18,mc_dropout,3,0.9811,0.0007,0.999,0.0001,0.0113,0.0006,0.0768,0.0068
bloodmnist,resnet18,ts_only,3,0.9811,0.001,0.999,0.0001,0.0094,0.0013,0.0721,0.0046
bloodmnist,resnet18,ts_entropy,3,0.9831,0.0003,0.9991,0.0001,0.0065,0.0009,0.0641,0.0023
bloodmnist,resnet18,top3,3,0.9825,0.0013,0.999,0.0001,0.0115,0.001,0.0848,0.0042
bloodmnist,resnet18,top5,3,0.9835,0.0013,0.999,0.0001,0.0094,0.0016,0.0743,0.0024
bloodmnist,resnet18,top7,3,0.9831,0.0002,0.999,0.0001,0.0088,0.0011,0.0687,0.0015
breastmnist,deit_tiny,baseline,2,0.859,0.0091,0.872,0.026,0.068,0.0067,0.4132,0.0516
breastmnist,deit_tiny,maxprob,2,0.8622,0.0045,0.8735,0.0258,0.0731,0.0051,0.4155,0.0532
breastmnist,deit_tiny,entropy,2,0.8622,0.0045,0.8737,0.0261,0.0778,0.008,0.4178,0.0552
breastmnist,deit_tiny,variance,2,0.8558,0.0045,0.8787,0.0242,0.0755,0.0006,0.4289,0.0559
breastmnist,deit_tiny,variance_inv,2,0.8237,0.0136,0.8527,0.0188,0.0792,0.0124,0.4423,0.0456
breastmnist,deit_tiny,mc_dropout,2,0.8526,0.0091,0.8773,0.0155,0.0819,0.0015,0.4791,0.0883
breastmnist,deit_tiny,ts_only,2,0.8494,0.0045,0.8798,0.0173,0.0762,0.0018,0.4568,0.0778
breastmnist,deit_tiny,ts_entropy,2,0.8622,0.0045,0.8747,0.026,0.0743,0.0133,0.4083,0.0553
breastmnist,deit_tiny,top3,2,0.8494,0.0045,0.8783,0.0185,0.1001,0.0036,0.5196,0.0883
breastmnist,deit_tiny,top5,2,0.859,0.0,0.8778,0.0142,0.0922,0.0005,0.4828,0.0664
breastmnist,deit_tiny,top7,2,0.859,0.0,0.8741,0.0148,0.0937,0.0045,0.4739,0.0723
breastmnist,effb0,baseline,3,0.8376,0.0353,0.8615,0.0747,0.0786,0.0287,0.4073,0.0894
breastmnist,effb0,maxprob,3,0.8376,0.0417,0.8615,0.0745,0.0713,0.0174,0.4014,0.0889
breastmnist,effb0,entropy,3,0.8376,0.0417,0.8618,0.0748,0.0692,0.0225,0.4005,0.091
breastmnist,effb0,variance,3,0.8333,0.0357,0.8448,0.084,0.0522,0.0221,0.4006,0.0819
breastmnist,effb0,variance_inv,3,0.765,0.0289,0.8177,0.0721,0.1252,0.03,0.5099,0.0776
breastmnist,effb0,mc_dropout,3,0.8269,0.017,0.8248,0.101,0.0649,0.0295,0.4155,0.0951
breastmnist,effb0,ts_only,3,0.8205,0.0128,0.8248,0.1002,0.0714,0.0337,0.417,0.0978
breastmnist,effb0,ts_entropy,3,0.8376,0.0417,0.8624,0.0738,0.0686,0.0137,0.3939,0.0756
breastmnist,effb0,top3,3,0.8269,0.0294,0.8562,0.0697,0.0598,0.0205,0.4077,0.0662
breastmnist,effb0,top5,3,0.8333,0.0385,0.8539,0.0792,0.0585,0.0143,0.3915,0.082
breastmnist,effb0,top7,3,0.8333,0.0385,0.8558,0.0831,0.0476,0.0352,0.3902,0.0911
breastmnist,resnet18,baseline,3,0.8868,0.0098,0.917,0.0051,0.0341,0.0126,0.3127,0.0171
breastmnist,resnet18,maxprob,3,0.8889,0.0098,0.9185,0.0043,0.0392,0.0044,0.3127,0.0185
breastmnist,resnet18,entropy,3,0.8889,0.0098,0.9196,0.0035,0.0365,0.0074,0.3131,0.0192
breastmnist,resnet18,variance,3,0.8953,0.0037,0.9205,0.0029,0.0621,0.0041,0.323,0.0206
